reservoir_name_th,reservoir_name_en,river_basin_th,river_basin_en,dam_province_code,dam_province_th,lat,lon,downstream_prov_codes,downstream_prov_th,capacity_mcm_ref,source_type
อ่างเก็บน้ำจุลมณี,Chun Reservoir,แม่น้ำยม,Yom River,54,แพร่,18.2167,99.8833,"54,64,60","แพร่,สุโขทัย,นครสวรรค์",194,reservoir
อ่างเก็บน้ำห้วยน้ำดัง,Huai Nam Dang Reservoir,แม่น้ำปิง,Ping River,50,เชียงใหม่,19.5333,98.7167,50,เชียงใหม่,22,reservoir
อ่างเก็บน้ำลำเชียงไกร,Lam Chiang Krai Reservoir,แม่น้ำมูล,Mun River,30,นครราชสีมา,15.1833,102.45,30,นครราชสีมา,185,reservoir
อ่างเก็บน้ำลำสะพุง,Lam Saphung Reservoir,แม่น้ำชี,Chi River,36,ชัยภูมิ,16.0833,102.1,36,ชัยภูมิ,145,reservoir
อ่างเก็บน้ำห้วยสามพาด,Huai Sam Phad Reservoir,แม่น้ำโขง,Mekong River,41,อุดรธานี,17.8333,103.0833,"41,43","อุดรธานี,หนองคาย",113,reservoir
อ่างเก็บน้ำน้ำพุง,Nam Phung Reservoir,ลำน้ำพุง,Nam Phung River,47,สกลนคร,17.3167,103.6,"47,48","สกลนคร,นครพนม",165,reservoir
อ่างเก็บน้ำห้วยเสนง,Huai Saneng Reservoir,แม่น้ำมูล,Mun River,32,สุรินทร์,14.7833,103.4167,32,สุรินทร์,70,reservoir
อ่างเก็บน้ำห้วยตลาด,Huai Talat Reservoir,แม่น้ำชี,Chi River,40,ขอนแก่น,16.4333,102.8333,40,ขอนแก่น,51,reservoir
อ่างเก็บน้ำลำพุดซา,Lam Phutsa Reservoir,แม่น้ำมูล,Mun River,30,นครราชสีมา,14.5833,102.0,30,นครราชสีมา,100,reservoir
อ่างเก็บน้ำโป่งขุนเพชร,Pong Khun Phet Reservoir,แม่น้ำสะแกกรัง,Sakae Krang River,18,ชัยนาท,15.5,100.75,"18,16","ชัยนาท,ลพบุรี",70,reservoir
อ่างเก็บน้ำห้วยโสมง,Huai Somong Reservoir,แม่น้ำบางปะกง,Bang Pakong River,25,ปราจีนบุรี,14.1167,101.5,"25,26","ปราจีนบุรี,นครนายก",300,reservoir
อ่างเก็บน้ำห้วยแม่ประจันต์,Huai Mae Prachan Reservoir,แม่น้ำเพชรบุรี,Phetchaburi River,76,เพชรบุรี,13.2333,99.4,76,เพชรบุรี,48,reservoir
อ่างเก็บน้ำปราณบุรี,Pran Buri Reservoir,แม่น้ำปราณบุรี,Pran Buri River,77,ประจวบคีรีขันธ์,12.4167,99.9,77,ประจวบคีรีขันธ์,325,reservoir
อ่างเก็บน้ำบางวาด,Bang Wad Reservoir,คลองบางวาด,Bang Wad Canal,83,ภูเก็ต,8.0,98.3333,83,ภูเก็ต,18,reservoir
อ่างเก็บน้ำกุยบุรี,Kui Buri Reservoir,แม่น้ำกุยบุรี,Kui Buri River,77,ประจวบคีรีขันธ์,12.05,99.8833,77,ประจวบคีรีขันธ์,100,reservoir
อ่างเก็บน้ำบ้านทวน,Ban Thuan Reservoir,แม่น้ำตาปี,Tapi River,84,สุราษฎร์ธานี,9.1333,99.3333,84,สุราษฎร์ธานี,71,reservoir
เขื่อนทับเบิก,Thap Boek Dam,แม่น้ำป่าสัก,Pa Sak River,67,เพชรบูรณ์,16.0167,101.2333,"67,16,19,14","เพชรบูรณ์,ลพบุรี,สระบุรี,พระนครศรีอยุธยา",0,dam
เขื่อนกระเสียว,Krasiao Dam,แม่น้ำท่าจีน,Tha Chin River,72,สุพรรณบุรี,14.8500,99.7333,"72,73,74","สุพรรณบุรี,นครปฐม,สมุทรสาคร",315,dam
อ่างเก็บน้ำน้ำว้า,Nam Wa Reservoir,แม่น้ำน่าน,Nan River,55,น่าน,18.5833,101.0833,55,น่าน,165,reservoir
อ่างเก็บน้ำน้ำปัว,Nam Pua Reservoir,แม่น้ำน่าน,Nan River,55,น่าน,19.1667,100.9167,55,น่าน,25,reservoir
อ่างเก็บน้ำแม่ต๋ำ,Mae Tam Reservoir,แม่น้ำอิง,Ing River,56,พะเยา,19.1500,100.0500,56,พะเยา,150,reservoir
อ่างเก็บน้ำแม่เงา,Mae Ngao Reservoir,แม่น้ำยวม,Yuam River,58,แม่ฮ่องสอน,18.3833,97.8500,58,แม่ฮ่องสอน,40,reservoir
อ่างเก็บน้ำแม่ต๊ะ,Mae Ta Reservoir,แม่น้ำปิง,Ping River,58,แม่ฮ่องสอน,18.1667,97.9667,58,แม่ฮ่องสอน,18,reservoir
อ่างเก็บน้ำคลองพระสะทึง,Khlong Phra Sathueng Reservoir,แม่น้ำบางปะกง,Bang Pakong River,27,สระแก้ว,13.8833,102.0167,"27,25","สระแก้ว,ปราจีนบุรี",175,reservoir
อ่างเก็บน้ำห้วยสำราญ,Huai Samran Reservoir,แม่น้ำมูล,Mun River,33,ศรีสะเกษ,14.8333,104.5000,"33,34","ศรีสะเกษ,อุบลราชธานี",65,reservoir
อ่างเก็บน้ำห้วยศาลา,Huai Sala Reservoir,แม่น้ำมูล,Mun River,33,ศรีสะเกษ,14.9167,104.3333,33,ศรีสะเกษ,40,reservoir
อ่างเก็บน้ำห้วยโมง,Huai Mong Reservoir,ลำน้ำโมง,Nam Mong River,39,หนองบัวลำภู,17.5000,102.1667,"39,41","หนองบัวลำภู,อุดรธานี",75,reservoir
อ่างเก็บน้ำห้วยลิ้นควาย,Huai Lin Khwai Reservoir,แม่น้ำชี,Chi River,37,อำนาจเจริญ,15.7500,104.5833,"37,34","อำนาจเจริญ,อุบลราชธานี",50,reservoir
อ่างเก็บน้ำห้วยเจ็กน้อย,Huai Chek Noi Reservoir,แม่น้ำสงคราม,Songkhram River,38,บึงกาฬ,18.0833,103.5000,38,บึงกาฬ,15,reservoir
อ่างเก็บน้ำคลองใหญ่,Khlong Yai Reservoir,คลองใหญ่,Khlong Yai River,23,ตราด,12.0833,102.5833,23,ตราด,90,reservoir
เขื่อนปากประ,Pak Pra Dam,แม่น้ำชุมพร,Chumphon River,86,ชุมพร,10.4167,99.1333,86,ชุมพร,180,dam
อ่างเก็บน้ำคลองจันดี,Khlong Chan Di Reservoir,คลองจันดี,Khlong Chan Di River,80,นครศรีธรรมราช,8.5000,99.7500,80,นครศรีธรรมราช,260,reservoir
อ่างเก็บน้ำบางขัน,Bang Khan Reservoir,คลองบางขัน,Bang Khan Canal,80,นครศรีธรรมราช,8.7833,99.9167,80,นครศรีธรรมราช,48,reservoir
อ่างเก็บน้ำบางเหรียง,Bang Riang Reservoir,คลองพัทลุง,Phatthalung Canal,93,พัทลุง,7.5000,100.1667,"93,90","พัทลุง,สงขลา",60,reservoir
อ่างเก็บน้ำลำภูรา,Lam Phura Reservoir,คลองลำภูรา,Lam Phura Canal,92,ตรัง,7.5333,99.9000,92,ตรัง,100,reservoir
อ่างเก็บน้ำคลองท่อมใต้,Khlong Thom Tai Reservoir,คลองท่อม,Khlong Thom River,81,กระบี่,7.9167,99.0333,81,กระบี่,70,reservoir
อ่างเก็บน้ำกาญจนาภิเษก,Kanchanaphisek Reservoir,คลองกาญจนาภิเษก,Kanchanaphisek Canal,85,ระนอง,10.0833,98.6667,85,ระนอง,120,reservoir
อ่างเก็บน้ำทุ่งหลวง,Thung Luang Reservoir,คลองทุ่งหลวง,Thung Luang Canal,91,สตูล,6.7500,100.0667,91,สตูล,40,reservoir
อ่างเก็บน้ำบ้านช้าง,Ban Chang Reservoir,คลองพังงา,Phang-nga Canal,82,พังงา,8.3333,98.5167,82,พังงา,55,reservoir
อ่างเก็บน้ำสุไหงปาดี,Sungai Padi Reservoir,แม่น้ำบาเจาะ,Bacho River,96,นราธิวาส,6.1667,101.8333,96,นราธิวาส,90,reservoir
